Track,TestCase,Matcher,Label Left,Comment Left,Type Left,URI Left,Relation,Confidence (Matcher),URI Right,Label Right,Comment Right,Type Right,Residual True Positive,Evaluation Result
anatomy_track,mouse-human-suite,LSMatch,"[""efferent arteriole""]",[],"[""owl:Class""]",http://mouse.owl#MA_0002585,=,0.0,http://human.owl#NCI_C33457,"[""Renal_Efferent_Vessel""]",[],"[""owl:Class""]",true,false negative
anatomy_track,mouse-human-suite,LSMatch,"[""lower jaw tooth""]",[],"[""owl:Class""]",http://mouse.owl#MA_0001907,=,1.0,http://human.owl#NCI_C49582,"[""Lower_Jaw_Tooth""]",[],"[""owl:Class""]",false,true positive
anatomy_track,mouse-human-suite,LSMatch,"[""adipose tissue""]",[],"[""owl:Class""]",http://mouse.owl#MA_0000009,=,1.0,http://human.owl#NCI_C12472,"[""Adipose_Tissue""]",[],"[""owl:Class""]",false,true positive
anatomy_track,mouse-human-suite,LSMatch,"[""palmar hand interosseus muscle""]",[],"[""owl:Class""]",http://mouse.owl#MA_0002315,=,0.0,http://human.owl#NCI_C52704,"[""Palmar_Hand_Interosseus_Muscle""]",[],"[""owl:Class""]",false,false negative
anatomy_track,mouse-human-suite,LSMatch,"[""prepuce""]",[],"[""owl:Class""]",http://mouse.owl#MA_0000407,=,0.0,http://human.owl#NCI_C12323,"[""Prepuce""]",[],"[""owl:Class""]",false,false negative
anatomy_track,mouse-human-suite,LSMatch,"[""constrictor muscle of pharynx inferior""]",[],"[""owl:Class""]",http://mouse.owl#MA_0002279,=,0.0,http://human.owl#NCI_C32401,"[""Cricopharyngeus_Muscle""]",[],"[""owl:Class""]",true,false negative
anatomy_track,mouse-human-suite,LSMatch,"[""descending aorta""]",[],"[""owl:Class""]",http://mouse.owl#MA_0002571,=,0.0,http://human.owl#NCI_C32455,"[""Descending_Aorta""]",[],"[""owl:Class""]",false,false negative
anatomy_track,mouse-human-suite,LSMatch,"[""internal anal sphincter""]",[],"[""owl:Class""]",http://mouse.owl#MA_0001534,=,0.0,http://human.owl#NCI_C32833,"[""Internal_Anal_Sphincter""]",[],"[""owl:Class""]",false,false negative
anatomy_track,mouse-human-suite,LSMatch,"[""vitreous body""]",[],"[""owl:Class""]",http://mouse.owl#MA_0002462,=,1.0,http://human.owl#NCI_C33884,"[""Vitreous_Body""]",[],"[""owl:Class""]",false,true positive
anatomy_track,mouse-human-suite,LSMatch,"[""popliteus""]",[],"[""owl:Class""]",http://mouse.owl#MA_0002554,=,0.0,http://human.owl#NCI_C33340,"[""Popliteus_Muscle""]",[],"[""owl:Class""]",true,false negative
anatomy_track,mouse-human-suite,LSMatch,"[""cerebellum internal granule cell layer""]",[],"[""owl:Class""]",http://mouse.owl#MA_0000995,=,0.0,http://human.owl#NCI_C49141,"[""Internal_Granular_Layer_of_the_Cerebellum""]",[],"[""owl:Class""]",true,false negative
anatomy_track,mouse-human-suite,LSMatch,"[""superficial temporal vein""]",[],"[""owl:Class""]",http://mouse.owl#MA_0002242,=,1.0,http://human.owl#NCI_C52700,"[""Superficial_Temporal_Vein""]",[],"[""owl:Class""]",false,true positive
anatomy_track,mouse-human-suite,LSMatch,"[""constrictor vulvae""]",[],"[""owl:Class""]",http://mouse.owl#MA_0002281,=,0.0,http://human.owl#NCI_C52898,"[""Constrictor_Vulvae""]",[],"[""owl:Class""]",false,false negative
anatomy_track,mouse-human-suite,LSMatch,"[""synovial fluid""]",[],"[""owl:Class""]",http://mouse.owl#MA_0002544,=,0.0,http://human.owl#NCI_C33718,"[""Synovial_Fluid""]",[],"[""owl:Class""]",false,false negative
anatomy_track,mouse-human-suite,LSMatch,"[""gingival epithelium""]",[],"[""owl:Class""]",http://mouse.owl#MA_0001576,=,0.0,http://human.owl#NCI_C49239,"[""Gingival_Epithelium""]",[],"[""owl:Class""]",false,false negative
anatomy_track,mouse-human-suite,LSMatch,"[""talus""]",[],"[""owl:Class""]",http://mouse.owl#MA_0001351,=,1.0,http://human.owl#NCI_C52799,"[""Talus""]",[],"[""owl:Class""]",false,true positive
anatomy_track,mouse-human-suite,LSMatch,"[""levator nasolabialis""]",[],"[""owl:Class""]",http://mouse.owl#MA_0002334,=,0.0,http://human.owl#NCI_C52950,"[""Levator_Nasolabialis""]",[],"[""owl:Class""]",false,false negative
anatomy_track,mouse-human-suite,LSMatch,"[""ischium""]",[],"[""owl:Class""]",http://mouse.owl#MA_0001337,=,0.0,http://human.owl#NCI_C32884,"[""Ischium""]",[],"[""owl:Class""]",false,false negative
anatomy_track,mouse-human-suite,LSMatch,"[""brunner's gland""]",[],"[""owl:Class""]",http://mouse.owl#MA_0001551,=,0.0,http://human.owl#NCI_C13010,"[""Brunner_s_Gland""]",[],"[""owl:Class""]",true,false negative
anatomy_track,mouse-human-suite,LSMatch,"[""adrenal gland""]",[],"[""owl:Class""]",http://mouse.owl#MA_0000116,=,0.0,http://human.owl#NCI_C12666,"[""Adrenal_Gland""]",[],"[""owl:Class""]",false,false negative
anatomy_track,mouse-human-suite,LSMatch,"[""cardiovascular system""]",[],"[""owl:Class""]",http://mouse.owl#MA_0000010,=,0.0,http://human.owl#NCI_C12686,"[""Cardiovascular_System""]",[],"[""owl:Class""]",false,false negative
anatomy_track,mouse-human-suite,LSMatch,"[""long bone epiphysis""]",[],"[""owl:Class""]",http://mouse.owl#MA_0001362,=,0.0,http://human.owl#NCI_C52722,"[""Long_Bone_Epiphysis""]",[],"[""owl:Class""]",false,false negative
anatomy_track,mouse-human-suite,LSMatch,"[""palpebral conjunctiva""]",[],"[""owl:Class""]",http://mouse.owl#MA_0001265,=,0.0,http://human.owl#NCI_C12901,"[""Palpebral_Conjunctiva""]",[],"[""owl:Class""]",false,false negative
anatomy_track,mouse-human-suite,LSMatch,"[""tonsil crypt""]",[],"[""owl:Class""]",http://mouse.owl#MA_0000777,=,0.0,http://human.owl#NCI_C33791,"[""Tonsillar_Crypt""]",[],"[""owl:Class""]",true,false negative
anatomy_track,mouse-human-suite,LSMatch,"[""intrahepatic part of right hepatic duct""]",[],"[""owl:Class""]",http://mouse.owl#MA_0002664,=,0.0,http://human.owl#NCI_C38669,"[""Intrahepatic_Portion_of_the_Right_Hepatic_Duct""]",[],"[""owl:Class""]",true,false negative
anatomy_track,mouse-human-suite,LSMatch,"[""inferior oblique extraocular muscle""]",[],"[""owl:Class""]",http://mouse.owl#MA_0001276,=,0.0,http://human.owl#NCI_C32783,"[""Inferior_Oblique_Muscle""]",[],"[""owl:Class""]",true,false negative
